Name;Hours without subtasks;Hours with subtasks
     Vypomoc vo vyrobe - FOI;45h 43m;45h 43m
     Barcode;-;6h 50m
          Zistovanie problemu;3m 20s;5h 18m
               Testovanie softu;5h 15m;5h 15m
          Meeting;1h 2m;1h 2m
          Talk - Tomas;28m 26s;28m 26s
     Meeting s Marianom;1h 13m;1h 13m
     Prenasanie novych regalov;1h 6m;1h 6m
     Organizacia - vypomoc - Meranie - meeting s Petom;55m 13s;55m 13s
     Help Edovi v Projecte;51m;51m
     Breakout makro;8m 23s;8m 23s
GSM 2016;-;54h 12m
     Ucast na GSM 2016;30h;30h
     Priprava materialov;7h 15m;21h 58m
          Poppi - MS-03;6h 52m;12h 6m
               Tvorba textu;4h 24m;4h 24m
               Uprava;30m 8s;30m 8s
               Talk - Peto;19m 18s;19m 18s
          Poppi - Profil;1h 24m;1h 24m
          Odpoved Johnovi;45m 32s;45m 32s
          Phone call - Peto;19m 7s;19m 7s
          Datasheet;7m 39s;7m 39s
     Nastavenie Sentinelu;1h 5m;2h 2m
          Otestovanie konfiguracneho suboru;56m 52s;56m 52s
     Diskusia - Tomas;12m;12m
1439 - Polyimide FFT;-;47h 12m
     Design;-;39h 52m
          Specifikacia standardnych vlnovych dlzok;2h 33m;36h 54m
               Nova specka WL;9h 22m;22h 16m
                    Prerobenie sablony podla novych poziadaviek;10h 23m;10h 36m
                         Diskusia - Ado;13m;13m
                    Finalizacia - Ado / Peto / Tomas;1h 4m;1h 4m
                    Diskusia - Peto;24m 45s;24m 45s
                    Custom zadanie;23m 13s;23m 13s
                    Finalizacia - Ado;14m;14m
                    Phone call - Tomas;11m 17s;11m 17s
               Re-check vsetkych WL;2h 48m;4h 49m
                    Porovnanie teoretickych a realnych WL;1h 48m;1h 48m
                    Kontrola PN vlakien;11m 41s;11m 41s
               Diskusia Peto / Gabo;2h 59m;2h 59m
               Diskusia Peto / Tomas / Gabo;1h 23m;1h 23m
               Diskusia Peto / Tomas / Gabo;1h 18m;1h 18m
               D-01 standardne WL;1h 4m;1h 4m
               Tomas - check definovanych WL;30m 37s;30m 37s
          Transformer temperature monitoring;-;2h 36m
               Mail - Petovi;1h 10m;1h 10m
               Phone call - Magnus + diskusia s Petom;1h 5m;1h 5m
               Snimacia siet - Marek;13m 9s;13m 9s
               vzorky pre Avago;7m 19s;7m 19s
          Spektrum FFT;21m 25s;21m 25s
     Testing & Evaluation;-;3h 46m
          Vyhodnotenie noveho BI vlakna;46m 13s;3h 46m
               Tomasov mail;2h 53m;2h 53m
               Diskusia ohladom polarizacie - Tomas;7m;7m
     General;-;3h 33m
          Priprava na meeting s Margarethe;2h 37m;2h 37m
          Diskusia - Tomas - Variabilita parametrov FFT mriezok;31m;31m
          Mail od Margarethe;24m 54s;24m 54s
Inversion sensor;-;44h 12m
     Projects;-;37h 34m
          1776 - Displacement sensors;-;29h 48m
               Evaluation;-;23h
                    Vyhodnotenie kalibracie;3h 19m;23h
                         Kalibracia novych kusov;4h 7m;6h 17m
                              Vypocet predlzenia kalibrov;2h 9m;2h 9m
                         Vyvoj novej metody;2h 25m;3h 17m
                              Doplnenie verifikacnych cyklov;26m 41s;26m 41s
                              Doplnenie udajov;19m 26s;19m 26s
                              Doplnenie kalibrov;5m 52s;5m 52s
                         Prerabka logovacich suborov;2h 21m;2h 21m
                         Diskusia - Tomas;2h 16m;2h 16m
                         Overovacie cykly;1h 36m;1h 36m
                         Prerabka teplotnych kalibracii;1h 25m;1h 25m
                         Vypocet predlzenia kalibrov;1h 13m;1h 13m
                         Overenie kalibracie;34m 11s;34m 11s
                         Kompenzacia roztaznosti kalibrov;22m 17s;22m 17s
                         Rekalibracia na rigu - Plevi;15m 8s;15m 8s
               Production;-;4h
                    Vytvorenie kalibracnych listov - Marek;2h 5m;2h 5m
                    Kalibracia snimacov - Plevi;1h 28m;1h 28m
                    Nastavenie komory - kalibracia - Marek / Tomas;26m;26m
               Design;-;1h 59m
                    Kalibracna sablona;1h 8m;1h 8m
                    Vyroba D-01 a MS-01 FFT;34m 19s;34m 19s
                    D-0x;-;16m 7s
                         Check WL range;16m 7s;16m 7s
               General;-;48m
                    Diskusia - Tomas / Marek;48m;48m
          1723 - MS-01 / D-01;-;7h 46m
               Evaluation;-;7h 46m
                    Vyhodnotenie kalibracii;3h 46m;7h 46m
                         Vypocet predlzeni;1h 38m;1h 38m
                         Overenie strainovej kalibracie;1h 24m;1h 24m
                         Check kalibracnych listov;37m 1s;37m 1s
                         Diskusia - Tomas;15m;15m
                         Overenie kalibracnych udajov;5m 46s;5m 46s
     Misc;-;4h
          Check kalibracnych listov;3h 3m;3h 3m
          Zlomene MS-01;47m;57m
               Talk - Tomas;10m;10m
     Maintenance;-;2h 37m
          Kalibracia MS-01 - Problem - Plevi;2h 37m;2h 37m
1459 - Testy membran tlakovych snimacov;-;41h 54m
     Design;-;33h 15m
          Koncepty transducerov - meeting Mato;4h 30m;33h 15m
               Priprava prezentacie;11h 47m;13h 21m
                    Studium - geotechnicke pojmy;1h 10m;1h 10m
                    Studium - strain-stress;24m 15s;24m 15s
               Piezometer - studium;7h 52m;7h 52m
               Studium - Load cell koncepty;6h 6m;6h 6m
               Nove technologie FBG;58m 44s;58m 44s
               Peto - transducery;25m 58s;25m 58s
     Testing & evaluation;-;6h 6m
          Vyhodnotenie kalibracie;2h 34m;5h 51m
               Prerabka vzorcov;2h 16m;2h 16m
               Diskusia - Tomas;50m 51s;50m 51s
               Overovacie cykly;9m 31s;9m 31s
          Prehlad testov - mail;14m 49s;14m 49s
     Production;-;2h 32m
          Vyroba FFT membran - mail - zadanie;17m 42s;2h 32m
               Postup testov;1h 7m;1h 7m
               Kalibracia vzoriek;55m 29s;1h 7m
                    Diskusia - Tomas;12m;12m
1859 - S-line Scan 800 - Ejtech and Birefringence testing;-;41h 30m
     Testing & Evaluation;-;28h 2m
          Nastavenie testov;8h 46m;8h 46m
          Testy S-line Scan;-;4h 37m
               Vyhodnotenie testov;2h 23m;2h 23m
               Nastavenie testov;1h 27m;1h 27m
               Diskusia - Jardo;47m;47m
          Testy spotreby;-;3h 14m
               Nastavenie testov;2h 53m;2h 53m
               Vyhodnotenie;21m;21m
          Vyhodnotenie bending testov;1h 1m;3h 7m
               Diskusia - Jardo;2h 6m;2h 6m
          Testoavnie utlm vs vlnova dlzka;3h 1m;3h 1m
          Testy kombinacie S-lin Scan a Switch;-;1h 18m
               Nastavanie testov;1h 18m;1h 18m
          Vyhodnotenie druhych testov - Scrambler na MOI;1h 17m;1h 17m
          Vyhodnotenie prvych testov - bez scramblera;1h 1m;1h 1m
          Talk - Peto;40m;40m
          Nastavenie komory;25m 34s;25m 34s
          Vyhodnotenie tretieho testu - Scrambler na S-line Scan;21m 4s;21m 4s
          Zber udajov;11m;11m
     Design;-;11h 7m
          Cenove ponuky na Polarization Switch / Scrambler;26m 36s;10h 42m
               Laser linewidth, Coherence length;4h 6m;4h 6m
               Zapojenie zariadenia;2h;2h
               Talk - Jaro;1h 39m;1h 39m
               Mail;41m 10s;41m 10s
               Diskusia - Peto / Bram / Tomas / Potrok;28m 51s;28m 51s
               Mail Bramovi;27m 49s;27m 49s
               Mail - Wajih;27m;27m
               Talk - Peto;25m 12s;25m 12s
          Mail - doodnutie detailov;25m 8s;25m 8s
     General;-;2h 20m
          Fugro / Faz - Birefringence dokument;1h 45m;1h 45m
          Meeting - Peto / Ado / Tomas / Jardo;31m;31m
          Objednavka polarizatora;4m;4m
SW na analyzu udajov;-;38h 56m
     zadanie uloh Danovi;1h 9m;28h 26m
          Priprava;19m 32s;17h 53m
               Synchronizator;1h 46m;17h 34m
                    Testovanie;3h 31m;11h 58m
                         Visual Studio tasks;6h 38m;6h 38m
                         Priprava Test case-ov;1h 48m;1h 48m
                    Example materialy / popis;3h 48m;3h 48m
          Testovanie;3h 42m;3h 42m
          Podrobny rozpis uloh;2h 54m;2h 54m
          Talk Dano;2h 10m;2h 10m
          Testovanie c.3;35m 47s;35m 47s
     Specka - meeting - Marek;2h 20m;10h 2m
          Testovanie c.2;4h 49m;4h 49m
          Testovanie c.1;2h 25m;2h 25m
          Zadanie uloh Danovi - Marek;26m 41s;26m 41s
     Meeting - Marek / Peto;28m;28m
Eurovia;-;38h 28m
     Projects;-;38h 28m
          1426 - Stary most;5m 1s;38h 28m
               Maintenance;-;26h 31m
                    rekonfiguracia sieti;18m;17h 37m
                         Najst spravne definicie snimacov;6h 1m;6h 1m
                         Zapojenie snimacov;2h 32m;2h 32m
                         Check intenzit peakov;2h 21m;2h 21m
                         Nulovanie snimacov;2h 7m;2h 7m
                         Nastavenie integration time a threshold;1h 56m;1h 56m
                         Stary most - aktualny stav - mail;1h 39m;1h 39m
                         SHP - mail ohladom nenulovanych snimacov;20m 51s;20m 51s
                         Check WL logov;20m 33s;20m 33s
                    Vyjazd na Stary most - Jaro;3h 21m;3h 21m
                    Instalacia Sentinel bugfix07 - novy vzorec na novy komp;1h 57m;1h 57m
                    Reinstall Teamvieweru;47m 23s;47m 23s
                    instalacia Sentinel - Andis bugfix01;45m 53s;45m 53s
                    Test interogatora;10m 39s;45m 39s
                         Konfiguracia Sentinel;35m;35m
                    Nachystanie veci;45m;45m
                    Instalacia Sentinel bugfix07 - novy vzorec;30m 46s;30m 46s
               Production;-;8h 31m
                    instalacia;8h 31m;8h 31m
               Evaluation;-;3h 20m
                    Check Sensor Log;2h 1m;2h 18m
                         Talk - Peto;16m 48s;16m 48s
                    clanok do IS;20m 49s;20m 49s
                    SHP komunikacia;20m 40s;20m 40s
                    Petov report- check;15m 54s;15m 54s
                    Check reportov;4m 44s;4m 44s
Getec;42m 39s;38h
     Projects;-;29h
          1755 - Tendon strand monitoring;20m 5s;20h 10m
               Maintenance;-;10h 24m
                    Interrogator - mail - Justin;25m 33s;8h 44m
                         Instalacia Sentinel - Paul;2h 13m;2h 13m
                         Instalacia Sentinel - Justinov laptop;2h 8m;2h 8m
                         Instalacia Sentinel;1h 39m;1h 39m
                         Check interogatora;1h 15m;1h 15m
                         Instalacia Sentinel 2. interrogator;46m 50s;46m 50s
                         Paul - problemy s interogatorom;15m;15m
                    Instalacia Sentinel - Daniel;1h 10m;1h 10m
                    Paul - problem so snimacom - Mail - Peto;30m;30m
               Design;-;7h 29m
                    Konfiguracia SC-11;26s;6h 2m
                         Manual na nulovanie snimacov;2h 58m;2h 58m
                         Diskusia - Peto;1h 52m;1h 52m
                         Vytvorenie config suboru;1h 11m;1h 11m
                    Koncept - Peto;1h 15m;1h 15m
                    CSIC - distributed riesenie;11m 58s;11m 58s
               General;-;1h 20m
                    Meeting Peto / Ado / Tomas;58m 43s;58m 43s
                    Mail Peto / Ado / Tomas;20m 54s;20m 54s
                    Vizum - vybavenie;1m 6s;1m 6s
               Evaluation;-;36m
                    Kalibracia SC-11;36m;36m
          1707 - Tideway Central Sewer Monitoring;-;5h 7m
               Production;-;5h 7m
                    Testovanie sieti / konfiguracia Sentinel;4h 58m;4h 58m
                    Kalibracia;8m 56s;8m 56s
          1191 - Hamburg Sewer;1m 2s;2h 22m
               Maintenance;-;2h 21m
                    Instalacia Sentinel 1.0 (Andis bugfix05);2h 3m;2h 3m
                    Nastavenie SW;18m 10s;18m 10s
          Pile monitoring;-;1h 19m
               General;-;1h 19m
                    Historia mailov / analyza udajov;51m 52s;51m 52s
                    Diskusia - Peto;28m;28m
     Misc;-;4h 28m
          Meeting - Julian;51s;2h 47m
               Priprava;2h 46m;2h 46m
          Zoznam zariadeni pre Ada;1h 1m;1h 1m
          Sewer monitoring;30m;30m
          Smart cable;10m 8s;10m 8s
     R&D Projects;-;2h 54m
          1514 - Channel Tunnel;1h 40m;2h 54m
               Design;-;50m 7s
                    Konfiguracia Sentinel;50m 7s;50m 7s
               Testing & Evaluation;-;23m 55s
                    Kalibracia - vyhodnotenie;23m 55s;23m 55s
     Maintenance;-;53m 32s
          Konfiguracia snimacov na vystavu;47m 2s;47m 2s
          Interrogator problem - Justin;6m 30s;6m 30s
Capris;3m 50s;35h 29m
     Projects;-;35h 17m
          660 - Bridge in Costa Rica;-;35h 17m
               Evaluation;-;27h 20m
                    LC-02 vs. EPS;-;21h 30m
                         Nastavenie testov;15h 34m;15h 34m
                         Vyhodnotenie;5h 7m;5h 7m
                         Diskusia - Peto;48m 35s;48m 35s
                    Encardio rite EPS setup;1h 57m;3h 27m
                         Test - Jardo;1h 30m;1h 30m
                    Kalibracia LC-02;1h 23m;2h 23m
                         Kalibracia fakulta - support chalani;48m;48m
                         Prenos zavazi;12m;12m
               General;-;7h 56m
                    Mail Alexisovi;1h 47m;7h 49m
                         Total Soil Stress;4h 31m;4h 31m
                         Phone conference - MCH / Capris / Lowy;1h 24m;1h 24m
                         Kupa Total Soil Pressure Cell z Geosense - Peto;4m 59s;4m 59s
                    Diskusia Peto/Tomas;7m;7m
     Koncepty;7m 56s;7m 56s
1443 - MS-03;13m 36s;31h 46m
     Testing & Evaluation;-;25h 44m
          MS-03 navarena na ocelovu platnu;1h 10m;24h 7m
               Vyhodnotenie merani;13h 23m;13h 40m
                    Talk - Tomas;17m;17m
               Talk - Tomas;4h 2m;4h 2m
               Nsatevenie testov;2h 56m;2h 56m
               Navaranie - Mato - fakulta;1h 55m;1h 55m
               Mail - Tomas, Mato;23m 19s;23m 19s
          Kalibracia;1h 21m;1h 21m
          Kalibracia - help;16m 27s;16m 27s
     Design;-;4h 1m
          Diskusia - teplotny behavior / Tomas;2h 20m;3h 21m
               Diskusia - Tomas / Mato;36m;36m
               Check vysledkov;25m 5s;25m 5s
          Diskusia - Tomas;40m;40m
     General;-;1h 46m
          MS-03 meeting;1h 31m;1h 31m
          Stav MS-03;15m;15m
1913 - Testing of pressure sensors (Fugro);-;28h 17m
     Testing & Evaluation;-;28h 17m
          Vyhodnotenie kalibracie;15h 38m;15h 38m
          Kalibracia snimaca - Brano;12h 38m;12h 38m
Fugro;-;23h 27m
     Projects;-;18h 22m
          1806 - Pile monitoring;-;18h 22m
               Production;-;6h 32m
                    Kalibracne listy - Plevi;3h 3m;3h 59m
                         kontrola;55m 52s;55m 52s
                    kalibracia vzoriek - Plevi;2h 32m;2h 32m
               General;-;4h 25m
                    Export udajov - Podbiel;2h 25m;2h 51m
                         Talk - Tomas;25m 18s;25m 18s
                    Vysvetlenie teplotnej kalibracie - Devrez;1h 34m;1h 34m
               Maintenance;-;2h 49m
                    Najst spravny kalibraciu;2h 49m;2h 49m
               Evaluation;-;2h 44m
                    Skuska kalibracie MS-03;1h 31m;1h 39m
                         diskusia - marek;8m;8m
                    kalibracia;1h 5m;1h 5m
               Design;-;1h 49m
                    Devrez - MS-03 request;3m 8s;1h 49m
                         Check Tomasova tabulka;1h;1h
                         Check WL range;46m 6s;46m 6s
     R&D Projects;-;3h 43m
          1743 - Fugro - Strain insert testing;-;3h 43m
               Design;-;3h 43m
                    Devrez - phone conference;3h 36m;3h 36m
                    Studovanie problematiky;6m 18s;6m 18s
     General;-;1h 22m
          Pomoc pri vyhodnteni kalibracie;1h 13m;1h 13m
          Mail - Peto / Belus;9m 18s;9m 18s
Timecamp;-;22h 22m
     Report pre Peta;51m 28s;10h 5m
          Report August - November;2h 9m;6h 4m
               Analyza - Marekov report;3h 14m;3h 14m
               Analyza - Petov report;41m 18s;41m 18s
          Celorocny report;2h 19m;3h 9m
               Talk - Peto;50m;50m
     Vyrvorenie kategorii;4h 27m;6h 57m
          Skuska importu - Marek;59m 13s;59m 13s
          Talk - Peto;52m 21s;52m 21s
          Check importu;23m 46s;23m 46s
          Help - Mato;15m;15m
     Organizacia uloh;1h 40m;2h 20m
          Doplnenie chybajucich casov;40m 30s;40m 30s
     Meeting;1h 54m;1h 54m
     Priprava na meeting;1h;1h
     Mail;4m 54s;4m 54s
Kiwa;39s;19h 58m
     Projects;-;17h 26m
          1368 - Benthuizen;-;14h 22m
               Evaluation;-;11h 50m
                    Benthuizen - analyza udajov;5h 52m;11h 50m
                         Vypocet stress;3h 5m;5h 57m
                              Nastavenie snimaca u Robberta;1h 11m;1h 11m
                              Novy vzorec do Sentinel;1h 10m;1h 10m
                              Mail - Robbert;31m 23s;31m 23s
               Maintenance;-;2h 32m
                    Benthuizen - update Sentinel;1h 32m;1h 32m
                    Benthuizen rekonfiguracia;58m 1s;58m 1s
                    Benthuizen S-line View problemy;2m 34s;2m 34s
          Sandworm;-;3h 3m
               Sandworm 2;-;1h 42m
                    Konfiguracia Sentinel;1h 42m;1h 42m
               Testovanie Sandworm;1h 21m;1h 21m
     Maintenance;-;2h 31m
          Instalacia S-line comp;2h 31m;2h 31m
CERN;23m;17h 17m
     Meeting;8h;8h
     Priprava - Plevi;3h 35m;3h 35m
     Talk - Peto;2h 58m;2h 58m
     Phone call;58m;58m
     Instalacia Sentinel;40m;40m
     Priprava veci na meeting;18m 14s;18m 14s
     Mail od Peta;13m 52s;13m 52s
     Talk - Tomas;10m;10m
Organizacne veci;-;12h 53m
     FOS meeting;5h 4m;5h 4m
     Meeting - Marek - stahovanie;29m 8s;1h 58m
          stahovanie;1h 24m;1h 24m
          Upratanie OPI skrine;5m 24s;5m 24s
     Upratanie stola;1h 41m;1h 52m
          Prenasanie veci;11m;11m
     Meeting - Peto;1h 13m;1h 13m
     Vyroba pocas dovoleniek - Marek / Tomas;1h 6m;1h 6m
     BOZP skolenie;1h;1h
     Call s Tomasom;40m;40m
S-line View 1.0;-;11h 20m
     General;-;8h 23m
          Simulacia casov nastavenia VDV;3h 4m;3h 16m
               Talk - Peto;12m 6s;12m 6s
          Cloud monitoring solutions;1h 24m;1h 24m
          Priprava na phone call s Thorarinnom;1h 6m;1h 6m
          Phone call s Thorarinnom;53m 2s;53m 2s
          Otazky ohladom Dashboard - Thorarinn;51m 6s;51m 6s
          Riesenie zemny poctu snimacov - Thorarinn, Andres;32m 42s;32m 42s
          Otazky na Thorarinna ohladom alert a warning;19m 14s;19m 14s
     Maintenance;-;2h 57m
          VDV 2016;1h 7m;2h 21m
               Backup / Instalacia;1h 13m;1h 13m
          Sprava servera;36m 14s;36m 14s
FOS - others;-;10h 36m
     Kalibracne makra;-;10h 36m
          Nove makro pre teplotne snimace;7h 54m;10h 36m
               Novy vzorec;1h 32m;1h 32m
               Implementacia do Sentinelu 1.0;37m 42s;37m 42s
               Check novych kalibracnych listov;17m 53s;17m 53s
               Novy vzorec do kalibracnych listov;13m 35s;13m 35s
Problemy;-;8h 35m
     Nastavenie notebooku;3h 50m;3h 50m
     Zalohovanie udajov;1h 54m;1h 54m
     Cistenie kompu - odinstalovanie;1h 21m;1h 21m
     Oprava notebooku;1h 15m;1h 15m
     Problem s TeamViewer;14m 31s;14m 31s
1855 - Mortar project;-;8h 23m
     Testing & Evaluation;-;8h 23m
          Prvy tyzden logovania;3h 17m;3h 17m
          Zapnutie testov;2h 30m;2h 30m
          Logovanie;1h 46m;1h 46m
          Uprava logovania, upratanie kablov;26m 2s;26m 2s
          Zapnutie testov - Plevi;24m 29s;24m 29s
EC -Test systems;-;8h
     Misc;-;5h 9m
          Illumisense Wave / Strain datasheet;1h 9m;1h 9m
          Interrogator tender;58m 21s;58m 21s
          Prerobenie kalibracnych listov;53m 22s;53m 22s
          Check kalibracnych listov;52m 50s;52m 50s
          Illumisense Wave / Strain;43m 43s;43m 43s
          Testovanie zaraidenia;32m 24s;32m 24s
     Projects;-;1h 45m
          1713 - Naval Academy;-;1h 27m
               General;-;1h 27m
                    Uvod;56m 33s;56m 33s
                    Diskusia - Ado;31m 2s;31m 2s
          1750 - Bridge monitoring;-;17m 41s
               General;-;17m 41s
                    Uvod;17m 41s;17m 41s
     Maintenance;-;1h 5m
          Instalacia Sentinel;1h 5m;1h 5m
Actphast;-;6h 51m
     Meeting - Peto / Edo / Gabo;3h 49m;3h 49m
     Kick-off meeting;1h 15m;1h 15m
     Phone conference - Edo;1h 10m;1h 10m
     Maily;22m 39s;22m 39s
     Diskusia - Peto;15m;15m
MS Systems;-;6h 26m
     Projects;-;6h 26m
          1897 - Kuryk project;-;3h 24m
               Production;-;2h 6m
                    Nastavenie / test zostavy;1h 51m;1h 51m
                    Check kalibracnych listov;15m 31s;15m 31s
               General;-;1h 17m
                    Lokalizacia Sentinelu;-;1h 17m
                         Mail;1h 17m;1h 17m
          1715 - Harbor project;-;3h 1m
               Production;-;2h 35m
                    Nastavenie MOI pre problematicke peaky - teplotna kalibracia;1h 34m;1h 34m
                    Testovanie S-line Scan+comp;55m 5s;55m 5s
                    Check kalibracnych listov;6m 6s;6m 6s
               Evaluation;-;26m
                    Check Tomasovho reportu;26m;26m
FBGS;-;5h 15m
     Misc;-;4h 2m
          Vyhodnotenie kalibracie TC-03;2h 5m;2h 5m
          Mail ohladom FFT a PI;23m 2s;1h 8m
               Talk - Jardo;26m 23s;26m 23s
               Talk - Peto;9m 45s;9m 45s
               Mail do Fugra / Faz - Tomas;9m 39s;9m 39s
          Check kalibracnych dokumentov - TC-03;40m 10s;40m 10s
          Check kalibracnych listov;7m 55s;7m 55s
     Projects;-;1h 13m
          Kvalifikacia S-line Scan;-;38m 42s
               Mail - Bram;38m 42s;38m 42s
          PI Femtosecond fiber;-;34m 28s
               Mail - Peto / Bram;34m 28s;34m 28s
1756 - Vibracne testy;1h 48m;4h 55m
     Design;-;3h 6m
          Meeting s Chmelkom na SjF;1h 45m;1h 45m
          Dohodnutie detailov s Matom;1h;1h 21m
               Mail;20m 37s;20m 37s
Ejtech;-;4h 35m
     Projects;-;3h 8m
          XXX - Interrogator;-;3h 8m
               Production;-;2h 15m
                    Balenie / Priprava / nastavenie / testovanie / kalibracne listy;1h 32m;1h 32m
                    Kalibracne listy - Plevi;43m 20s;43m 20s
               General;-;53m 18s
                    Mail - vysledky testov;53m 18s;53m 18s
     General;-;1h 26m
          Testovanie interogatorov - Jardo;1h 26m;1h 26m
Technobis;-;4h 19m
     Meeting;3h;3h
     Talk - Peto;1h 13m;1h 13m
     Rolfov email;6m 15s;6m 15s
1818 - D-0x FFT;-;4h 6m
     Design;-;4h 6m
          Makro na kalibraciu;4h 6m;4h 6m
Audit;-;3h 50m
     Priprava na audit;-;3h 20m
          Vyvojove ulohy - Edo;2h 27m;2h 27m
          PO na TimeCamp;52m 40s;52m 40s
     Meeting;30m;30m
ANV s.r.o.;-;3h 47m
     General;-;3h 47m
          Introduction meeting;3h 47m;3h 47m
Vyrobne zariadenia v SX;-;3h 28m
     Strain rig;10m 39s;2h 32m
          Uprava kalibracneho makra;57m 9s;57m 9s
          Kalibracia, diskusia - Tomas;50m 45s;50m 45s
          Vymena Thorlabs;33m 33s;33m 33s
     MO SM125;-;56m
          Problem SM125;28m 36s;56m
               Mail do Micron Optics;27m 24s;27m 24s
Tencate;-;3h 19m
     General;-;3h 19m
          S-line Scan - 10 years warranty risk management;2h 27m;2h 27m
          Olivier - SCN86 request;51m 3s;51m 3s
Anglictina;3h 6m;3h 6m
Geosinergia;-;2h 52m
     Maintenance;-;2h 52m
          Pressure calibration formula - P-01;-;2h 52m
               Mail - Alexis;2h 52m;2h 52m
All employee;2h 47m;2h 47m
NIF zrt.;-;2h 24m
     Mail do madarciny;2h 24m;2h 24m
Magistrat Bratislavy;-;2h 9m
     Misc;-;2h 9m
          Priprava na meeting;-;1h 12m
               Nachystanie ITR;45m 4s;45m 4s
               Meeting - Peto/Tomas;27m;27m
          Mail od Peta;31m 13s;31m 13s
          Mailing;25m 54s;25m 54s
Encardio Rite;-;1h 58m
     Misc;-;1h 58m
          Priprava na meeting;1h 3m;1h 3m
          Meeting;55m;55m
Slovnaft;-;1h 50m
     General;-;1h 50m
          Priprava na meeting;1h 50m;1h 50m
Technicasa;44m 25s;1h 41m
     Misc;-;56m 48s
          introduction;56m 48s;56m 48s
Samuel Igor - diplomova praca;-;1h 38m
     Zadanie uloh - Jardo;1h 38m;1h 38m
Monitoring Systems;1h 35m;1h 35m
Smartfibres;46s;1h 32m
     Misc;-;1h 31m
          Vypocet vyosenia snimaca - Tomas;1h 2m;1h 2m
          Kalibracia;26m 14s;26m 14s
          FWHM a Reflectivity;3m 4s;3m 4s
Lactec;-;1h 23m
     Misc;-;1h 23m
          Mail od Ada;1h 3m;1h 3m
          Meranie elongation pomocou SC-01 - Tomas;20m;20m
SVF STU;-;1h 22m
     Imrich Liptak;-;1h 22m
          Lucia;-;46m
               Teplotna kalibracia - mail;46m;46m
          Exkurzia;36m;36m
Geo Van;-;1h 14m
     Misc;-;40m
          Zistvanie problemu na ES-01;40m;40m
     General;-;34m 14s
          Definicia custom WL pre D-02;34m 14s;34m 14s
Geodestek;-;1h 10m
     Misc;-;1h 10m
          Introduction mail;1h 10m;1h 10m
Exalos;-;1h 10m
     General;-;1h 10m
          Meeting;1h 10m;1h 10m
Opticke zvaracie kable;-;56m 7s
     Studium principu;56m 7s;56m 7s
Portuguese research institue;-;52m 36s
     Introduction;52m 36s;52m 36s
Pont-terv;-;45m 11s
     General;-;45m 11s
          Introduction mail - preklad;45m 11s;45m 11s
Publikacie;-;38m 44s
     VDV publikacie;-;29m 49s
          Prehlad existujucich publikacii;29m 49s;29m 49s
     Napady - Tomas;8m 55s;8m 55s
Osmos;-;37m 32s
     Misc;-;37m 32s
          Talk - Peto;37m 32s;37m 32s
Missure Mecanicche;-;32m 47s
     General;-;32m 47s
          Check kalibracnych listov;32m 47s;32m 47s
FOS - General;-;26m 57s
     General;-;26m 57s
          Nove kalibracne sablony pre teplotne snimace;26m 57s;26m 57s
Distrelec;-;24m 51s
     Meeting;24m 51s;24m 51s
Producteev;-;24m 43s
     Tutorials;24m 43s;24m 43s
Savcor;-;24m 32s
     Projects;-;24m 32s
          Crussel bridge;-;24m 32s
               General;-;24m 32s
                    Uvod;24m 32s;24m 32s
Cellco;-;21m 53s
     Maintanance;-;13m
          Vypocet WL pri 85C;13m;13m
     Misc;-;8m 53s
          Check OSA;8m 53s;8m 53s
Socotec;-;21m 7s
     Projects;-;21m 7s
          XXX - Gregory 1;-;21m 7s
               Accelerometer check;21m 7s;21m 7s
GSM 2017;-;17m 13s
     Introduction;17m 13s;17m 13s
RST instruments;-;16m 59s
     Misc;-;16m 59s
          Introduction mail;16m 59s;16m 59s
Zerlux Hungary;-;14m 14s
     Introduction;14m 14s;14m 14s
1438 - Testy teplotnej kompenzacia;-;13m 2s
     Design;-;13m 2s
          Technologia - Tomas- Meeting;13m 2s;13m 2s
GoToMeeting;-;10m
     Introduction;10m;10m
Agidens;-;9m 55s
     Misc;-;9m 55s
          Uvod;9m 55s;9m 55s
Zilinska univerzita;-;6m 8s
     Check kalibracnych listov;6m 8s;6m 8s
Sales - quick request;3m 22s;3m 22s
(time without task assigned);53s;53s
Total;1757h 9m;1757h 9m
;;
